ENGINE_NAME,PMDE vNext
VERSION,V_NEXT
RUN_TIMESTAMP,20260511_185852
INPUT_FILE,D:/Tools/StockCodeMaster/01_NASDAQ_Sector_Energy.csv
FILE_SYMBOL_COUNT,53
HARDCODED_SYMBOL_COUNT,0
FALLBACK_SYMBOL_COUNT,0
INPUT_WARNINGS,
FORCE_L2_ASSESSMENT,True
MACD_FAST,8
MACD_SLOW,12
MACD_SIGNAL,5
USE_LIVE_PRICE_FOR_DAILY,True
LIVE_PRICE_INTERVAL,1m
LIVE_PRICE_PERIOD,1d
LIVE_PRICE_PREPOST,False
DATA_PERIOD_1D,5y
DATA_PERIOD_4H,60d
DATA_PERIOD_1H,30d
ACTIVE_GENERIC_FACTS,EMA200|PRICE_CONTEXT|SESSION_CONTEXT

TOTAL_SYMBOLS,53
SUCCESS_COUNT,53
FAILED,0
EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,22,41.51%
PRE_BEAR_CROSSOVER,1,1.89%
BULL_STRUCTURE_SECURED,10,18.87%
INSUFFICIENT_HISTORY_FOR_BASELINE,4,7.55%
BULL_STRUCTURE_PULLBACK_RISK,7,13.21%
BEAR_CROSSOVER_CONFIRMED,5,9.43%
INSUFFICIENT_TECHNICAL_DATA,1,1.89%
PRE_BULL_CROSSOVER,1,1.89%
STATUS_QUO_NO_CROSSOVER,2,3.77%
RUN_MODE,ADHOC_LIVE_VALIDATION

Symbol,Zone,L1_State,L1_Reason,L2_Hypothesis,Capital_Action,L2_MACD,L2_Confidence,L2_Indicators_Used,L3_Substantiation,PMDE_Explanation,Final_State,Momentum_State,Participation_State,Trend_Strength_State,Exhaustion_State,Volatility_State,Session_State,Session_Change_Pct,Opening_Gap_Pct,Intraday_Change_Pct,Gap_State,EMA200,EMA200_Status,EMA200_Data_Points,EMA200_Reason,Latest_Price,EMA200_D_Pct,EMA200_Slope_Pct,EMA200_Slope_State,MACD_1H,SIGNAL_1H,HISTOGRAM_1H,MACD_4H,SIGNAL_4H,HISTOGRAM_4H,MACD_1D,SIGNAL_1D,HISTOGRAM_1D,PPO_1D,PPO_SIGNAL_1D,PPO_HISTOGRAM_1D,PPO_STATE_1D,RSI_1D,RSI_STATE_1D,ADX_1D,DI_PLUS_1D,DI_MINUS_1D,ADX_DIRECTION_1D,ADX_STRENGTH_1D,OBV_1D,OBV_STATE_1D,CMF_1D,CMF_STATE_1D,ATRP_1D,ATRP_RISK_1D,High_52W,Low_52W,Distance_From_52W_High_Pct,Distance_From_52W_Low_Pct,Price_Context_State
CHRD,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"CHRD: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=25.7388%, slope=RISING. Extended support: PPO=BEARISH, RSI=54.2228, ADX=15.5644 BULLISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=4.0602% MEDIUM, 52W=MID_RANGE, Session=NORMAL 3.4484%.","CHRD: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=25.7388%, slope=RISING. Extended support: PPO=BEARISH, RSI=54.2228, ADX=15.5644 BULLISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=4.0602% MEDIUM, 52W=MID_RANGE, Session=NORMAL 3.4484%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BULLISH_WEAK,NEUTRAL,MEDIUM,NORMAL,3.4484,2.2032,1.2183,NO_GAP,112.2525,VALID,1256,,141.145,25.7388,5.3192,RISING,0.315,0.1031,0.212,-0.5116,-0.4622,-0.0495,0.3733,0.8485,-0.4751,0.2656,0.6022,-0.3366,BEARISH,54.2228,NEUTRAL,15.5644,26.7557,26.5512,BULLISH,WEAK,38119219.0,DISTRIBUTION,0.3669,ACCUMULATION,4.0602,MEDIUM,150.5,82.1956,-6.2159,71.7185,MID_RANGE
CIIT,BEAR_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,BEAR_CROSSOVER_CONFIRMED,PROTECT_CAPITAL,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"CIIT: L1=FORCED_L2_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI weak; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk; price near 52-week low; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-73.4715%, slope=FALLING. Extended support: PPO=BEARISH, RSI=37.3385, ADX=9.4908 BEARISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=13.2821% HIGH, 52W=NEAR_LOW, Session=NORMAL -4.2183%, Gap=GAP_DOWN -11.9366%.","CIIT: L1=FORCED_L2_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI weak; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk; price near 52-week low; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-73.4715%, slope=FALLING. Extended support: PPO=BEARISH, RSI=37.3385, ADX=9.4908 BEARISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=13.2821% HIGH, 52W=NEAR_LOW, Session=NORMAL -4.2183%, Gap=GAP_DOWN -11.9366%.",BEAR_CROSSOVER_CONFIRMED,BEARISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BEARISH_WEAK,BEARISH,HIGH,NORMAL,-4.2183,-11.9366,8.7645,GAP_DOWN,5.1269,VALID,1256,,1.3601,-73.4715,-13.555,FALLING,-0.015,-0.0092,-0.0059,-0.0154,-0.0112,-0.0042,-0.0183,-0.0157,-0.0026,-1.2492,-1.0589,-0.1904,BEARISH,37.3385,BEARISH,9.4908,17.4809,26.7279,BEARISH,WEAK,45679880.0,ACCUMULATION,0.1512,ACCUMULATION,13.2821,HIGH,18.011,1.2505,-92.4485,8.7645,NEAR_LOW
CLMT,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"CLMT: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=32.6365%, slope=RISING. Extended support: PPO=BEARISH, RSI=49.0541, ADX=18.0974 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=5.0451% HIGH, 52W=MID_RANGE, Session=NORMAL 1.0598%.","CLMT: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=32.6365%, slope=RISING. Extended support: PPO=BEARISH, RSI=49.0541, ADX=18.0974 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=5.0451% HIGH, 52W=MID_RANGE, Session=NORMAL 1.0598%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BEARISH_WEAK,NEUTRAL,HIGH,NORMAL,1.0598,1.4963,-0.43,NO_GAP,24.4427,VALID,1256,,32.42,32.6365,8.0896,RISING,-0.205,-0.2349,0.0299,-0.1211,0.044,-0.1651,0.0882,0.1863,-0.0981,0.2659,0.5584,-0.2925,BEARISH,49.0541,NEUTRAL,18.0974,23.024,23.243,BEARISH,WEAK,23419486.0,DISTRIBUTION,0.0788,ACCUMULATION,5.0451,HIGH,36.94,11.8,-12.2361,174.7457,MID_RANGE
DLXY,BEAR_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,BEAR_CROSSOVER_CONFIRMED,PROTECT_CAPITAL,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"DLXY: L1=FORCED_L2_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; EMA200 structure weak; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-67.991%, slope=FALLING. Extended support: PPO=BEARISH, RSI=40.9496, ADX=29.3215 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=17.4178% HIGH, 52W=MID_RANGE, Session=NORMAL 0.2%.","DLXY: L1=FORCED_L2_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; EMA200 structure weak; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-67.991%, slope=FALLING. Extended support: PPO=BEARISH, RSI=40.9496, ADX=29.3215 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=17.4178% HIGH, 52W=MID_RANGE, Session=NORMAL 0.2%.",BEAR_CROSSOVER_CONFIRMED,BEARISH,OBV=DISTRIBUTION;CMF=NEUTRAL,BULLISH_STRONG,NEUTRAL,HIGH,NORMAL,0.2,0.0,0.2,NO_GAP,1.7217,VALID,212,,0.5511,-67.991,-11.9335,FALLING,-0.0045,-0.0039,-0.0006,-0.0174,-0.0172,-0.0002,-0.0205,-0.0136,-0.0069,-3.3085,-2.1697,-1.1387,BEARISH,40.9496,NEUTRAL,29.3215,26.1391,16.5883,BULLISH,STRONG,83526551.0,DISTRIBUTION,-0.043,NEUTRAL,17.4178,HIGH,7.16,0.45,-92.3031,22.4667,MID_RANGE
DMLP,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"DMLP: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=6.8101%, slope=RISING. Extended support: PPO=BEARISH, RSI=45.5201, ADX=22.8036 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=2.4497% LOW, 52W=MID_RANGE, Session=NORMAL 2.6902%.","DMLP: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=6.8101%, slope=RISING. Extended support: PPO=BEARISH, RSI=45.5201, ADX=22.8036 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=2.4497% LOW, 52W=MID_RANGE, Session=NORMAL 2.6902%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=NEUTRAL,BEARISH_WEAK,NEUTRAL,LOW,NORMAL,2.6902,0.8071,1.8681,NO_GAP,25.0164,VALID,1256,,26.72,6.8101,2.0318,RISING,0.0843,0.0507,0.0336,-0.1604,-0.2122,0.0518,-0.1813,-0.1515,-0.0298,-0.6744,-0.562,-0.1125,BEARISH,45.5201,NEUTRAL,22.8036,16.3895,28.8857,BEARISH,WEAK,-1155042.0,DISTRIBUTION,-0.0369,NEUTRAL,2.4497,LOW,28.4584,19.8861,-6.1084,34.3651,MID_RANGE
DWSN,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"DWSN: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; EMA200 structure supportive; high volatility risk; price already extended upward today. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=44.3257%, slope=RISING. Extended support: PPO=BEARISH, RSI=55.8575, ADX=19.2777 BULLISH/WEAK, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=9.4402% HIGH, 52W=MID_RANGE, Session=EXTENDED_UP 11.6083%.","DWSN: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; EMA200 structure supportive; high volatility risk; price already extended upward today. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=44.3257%, slope=RISING. Extended support: PPO=BEARISH, RSI=55.8575, ADX=19.2777 BULLISH/WEAK, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=9.4402% HIGH, 52W=MID_RANGE, Session=EXTENDED_UP 11.6083%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=NEUTRAL,BULLISH_WEAK,NEUTRAL,HIGH,EXTENDED_UP,11.6083,2.5478,8.8354,NO_GAP,2.4282,VALID,1256,,3.5045,44.3257,7.0996,RISING,0.0175,0.0076,0.0099,0.0079,0.01,-0.0021,0.0485,0.0645,-0.0159,1.4551,1.9543,-0.4992,BEARISH,55.8575,NEUTRAL,19.2777,28.1862,22.8005,BULLISH,WEAK,50792131.0,DISTRIBUTION,0.0458,NEUTRAL,9.4402,HIGH,5.54,1.17,-36.7419,199.5299,MID_RANGE
EPSN,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"EPSN: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=8.4778%, slope=RISING. Extended support: PPO=BEARISH, RSI=46.5573, ADX=19.6306 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=3.8731% MEDIUM, 52W=MID_RANGE, Session=NORMAL 2.4055%.","EPSN: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=8.4778%, slope=RISING. Extended support: PPO=BEARISH, RSI=46.5573, ADX=19.6306 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=3.8731% MEDIUM, 52W=MID_RANGE, Session=NORMAL 2.4055%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BEARISH_WEAK,NEUTRAL,MEDIUM,NORMAL,2.4055,0.8591,1.5332,NO_GAP,5.4942,VALID,1256,,5.96,8.4778,2.3912,RISING,0.004,-0.0021,0.0061,-0.0436,-0.0425,-0.0011,-0.0312,-0.0108,-0.0204,-0.5139,-0.1797,-0.3342,BEARISH,46.5573,NEUTRAL,19.6306,15.5149,28.1819,BEARISH,WEAK,-361681.0,DISTRIBUTION,0.2453,ACCUMULATION,3.8731,MEDIUM,8.2056,4.154,-27.3665,43.4768,MID_RANGE
EXE,BEAR_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"EXE: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; EMA200 structure weak; price near 52-week low. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-6.35%, slope=FALLING. Extended support: PPO=BEARISH, RSI=43.6875, ADX=16.7374 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=2.8444% LOW, 52W=NEAR_LOW, Session=NORMAL 1.2612%.","EXE: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; EMA200 structure weak; price near 52-week low. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-6.35%, slope=FALLING. Extended support: PPO=BEARISH, RSI=43.6875, ADX=16.7374 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=2.8444% LOW, 52W=NEAR_LOW, Session=NORMAL 1.2612%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=NEUTRAL,BEARISH_WEAK,NEUTRAL,LOW,NORMAL,1.2612,1.2299,0.0309,NO_GAP,103.7373,VALID,1256,,97.15,-6.35,-1.321,FALLING,-0.0126,-0.0637,0.0511,-0.3329,-0.2963,-0.0366,-0.2507,-0.1307,-0.1199,-0.2557,-0.1337,-0.122,BEARISH,43.6875,NEUTRAL,16.7374,18.4671,21.9985,BEARISH,WEAK,84064849.0,DISTRIBUTION,0.0023,NEUTRAL,2.8444,LOW,125.9334,90.085,-22.856,7.8426,NEAR_LOW
FANG,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"FANG: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=17.7414%, slope=RISING. Extended support: PPO=BEARISH, RSI=51.6922, ADX=14.3537 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=3.5271% MEDIUM, 52W=MID_RANGE, Session=NORMAL 4.1283%.","FANG: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=17.7414%, slope=RISING. Extended support: PPO=BEARISH, RSI=51.6922, ADX=14.3537 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=3.5271% MEDIUM, 52W=MID_RANGE, Session=NORMAL 4.1283%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BEARISH_WEAK,NEUTRAL,MEDIUM,NORMAL,4.1283,0.9539,3.1444,NO_GAP,166.8827,VALID,1256,,196.49,17.7414,3.9322,RISING,0.7119,0.3394,0.3725,-1.2501,-1.3225,0.0724,-0.205,0.6206,-0.8256,-0.104,0.3103,-0.4143,BEARISH,51.6922,NEUTRAL,14.3537,30.9067,32.3467,BEARISH,WEAK,155675514.0,DISTRIBUTION,0.2709,ACCUMULATION,3.5271,MEDIUM,214.51,129.583,-8.4005,51.6325,MID_RANGE
FCEL,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,BULL_STRUCTURE_SECURED,HOLD_WITH_RISK_CONTROL,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"FCEL: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high; price already extended upward today. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=92.0634%, slope=RISING. Extended support: PPO=BULLISH, RSI=73.2901, ADX=42.7621 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=9.2355% HIGH, 52W=NEAR_HIGH, Session=EXTENDED_UP 16.9343%.","FCEL: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high; price already extended upward today. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=92.0634%, slope=RISING. Extended support: PPO=BULLISH, RSI=73.2901, ADX=42.7621 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=9.2355% HIGH, 52W=NEAR_HIGH, Session=EXTENDED_UP 16.9343%.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,HIGH,EXTENDED_UP,16.9343,-0.5109,17.5349,NO_GAP,8.341,VALID,1256,,16.02,92.0634,8.7238,RISING,0.4872,0.4569,0.0303,0.4931,0.3335,0.1596,0.6768,0.6238,0.053,5.2997,5.1936,0.1061,BULLISH,73.2901,BULLISH,42.7621,42.8573,10.2527,BULLISH,STRONG,88459956.0,ACCUMULATION,0.3622,ACCUMULATION,9.2355,HIGH,16.84,3.78,-4.8694,323.8095,NEAR_HIGH
