symbol,timestamp,latest_price,l1_state,l1_reason,tactical_state,confidence,capital_action,message,indicators_used,data_fetch_timestamp,engine_mode
DTSTW,2026-05-10T21:38:59.436149+00:00,0.0771,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"DTSTW: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=7.6694%, slope=RISING. Extended support: PPO=BEARISH, RSI=99.5121, ADX=97.8824 BULLISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0397% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
EVLVW,2026-05-10T21:39:39.968496+00:00,0.076,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"EVLVW: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=2.8551%, slope=RISING. Extended support: PPO=BEARISH, RSI=85.6979, ADX=10.2114 BULLISH/WEAK, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.3387% LOW, 52W=MID_RANGE.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
FUSEW,2026-05-10T21:40:00.107923+00:00,0.1,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"FUSEW: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV accumulation; CMF distribution; EMA200 structure weak; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-23.2515%, slope=FALLING. Extended support: PPO=BEARISH, RSI=49.9143, ADX=37.7725 BULLISH/STRONG, OBV=ACCUMULATION, CMF=DISTRIBUTION, ATRP=16.2347% HIGH, 52W=MID_RANGE.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
GEGGL,2026-05-10T21:40:06.890002+00:00,24.6,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"GEGGL: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bullish; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=3.6025%, slope=RISING. Extended support: PPO=BULLISH, RSI=58.0166, ADX=12.3742 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=0.5761% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
GENVR,2026-05-10T21:40:08.775445+00:00,0.655,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_WITH_RISK_CONTROL,"GENVR: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; ADX confirms bullish trend; OBV accumulation; CMF distribution; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-79.8501%, slope=FALLING. Extended support: PPO=BULLISH, RSI=58.2326, ADX=32.9859 BULLISH/STRONG, OBV=ACCUMULATION, CMF=DISTRIBUTION, ATRP=17.501% HIGH, 52W=MID_RANGE.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
GIBOW,2026-05-10T21:40:12.347488+00:00,0.029,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"GIBOW: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=2.0815%, slope=RISING. Extended support: PPO=BEARISH, RSI=100.0, ADX=100.0 BULLISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0106% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
GRRRW,2026-05-10T21:40:25.271665+00:00,0.3097,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"GRRRW: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bullish; RSI constructive; EMA200 structure weak. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-1.1334%, slope=FALLING. Extended support: PPO=BULLISH, RSI=86.0128, ADX=8.361 BEARISH/WEAK, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.15% LOW, 52W=MID_RANGE.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
IVDAW,2026-05-10T21:41:06.298576+00:00,0.102,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"IVDAW: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bearish; RSI weak; ADX confirms bullish trend; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=0.9177%, slope=FLAT. Extended support: PPO=BEARISH, RSI=10.582, ADX=27.8314 BULLISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.02% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
KDKRW,2026-05-10T21:41:13.747734+00:00,1.32,REGIME_UNSTABLE,Full L2 assessment forced by settings,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,MEDIUM,WAIT_FOR_1D_CONFIRMATION,"KDKRW: L1=REGIME_UNSTABLE; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-6.5043%, slope=RISING. Extended support: PPO=BEARISH, RSI=42.4505, ADX=20.5469 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=15.5709% HIGH, 52W=MID_RANGE.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
LTRYW,2026-05-10T21:41:36.800490+00:00,0.0094,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"LTRYW: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=4.2495%, slope=RISING. Extended support: PPO=BEARISH, RSI=97.3752, ADX=47.5727 BULLISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0389% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
,2026-05-10T21:42:59.829334+00:00,1.65,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BEAR_CROSSOVER,MEDIUM,PROTECT_CAPITAL,"NA: L1=REGIME_UNSTABLE; L2=PRE_BEAR_CROSSOVER (MEDIUM); Capital_Action=PROTECT_CAPITAL. The 1D MACD structure is still bullish, but deterioration is visible through lower timeframe or supporting indicators. Support profile: PPO bullish; RSI weak; OBV distribution; CMF distribution; EMA200 structure weak; high volatility risk; price near 52-week low. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-57.33%, slope=FALLING. Extended support: PPO=BULLISH, RSI=31.2499, ADX=24.4892 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=DISTRIBUTION, ATRP=17.3967% HIGH, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
ONFOW,2026-05-10T21:44:20.291410+00:00,0.068,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"ONFOW: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bullish; RSI weak; ADX confirms bearish trend; EMA200 structure weak; price near 52-week high. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-1.5066%, slope=FALLING. Extended support: PPO=BULLISH, RSI=0.0, ADX=100.0 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0074% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
OPTXW,2026-05-10T21:44:27.365966+00:00,1.17,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,HIGH,PROTECT_CAPITAL,"OPTXW: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (HIGH); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI weak; EMA200 structure weak; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-0.7106%, slope=FALLING. Extended support: PPO=BEARISH, RSI=8.2268, ADX=10.2616 BULLISH/WEAK, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.1567% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
PDYNW,2026-05-10T21:45:03.509565+00:00,0.075,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"PDYNW: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bullish; RSI weak; ADX confirms bearish trend; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-23.1943%, slope=FALLING. Extended support: PPO=BULLISH, RSI=24.6034, ADX=52.5479 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.2763% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
RAINW,2026-05-10T21:46:16.582993+00:00,0.195,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"RAINW: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bullish; RSI weak; ADX confirms bearish trend; EMA200 structure weak; price near 52-week high. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-1.6732%, slope=FALLING. Extended support: PPO=BULLISH, RSI=0.0, ADX=100.0 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0094% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
RGTIW,2026-05-10T21:46:42.894123+00:00,7.65,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_OR_GROW,"RGTIW: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI weak; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-1.5317%, slope=FALLING. Extended support: PPO=BULLISH, RSI=17.5153, ADX=19.0275 BEARISH/WEAK, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0564% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
RMSGW,2026-05-10T21:46:50.097309+00:00,0.0322,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"RMSGW: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI weak; ADX confirms bullish trend; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=1.2602%, slope=RISING. Extended support: PPO=BEARISH, RSI=15.4155, ADX=46.1909 BULLISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0163% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
RUMBW,2026-05-10T21:47:06.411428+00:00,1.2,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_OR_GROW,"RUMBW: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bearish trend; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-3.7269%, slope=FALLING. Extended support: PPO=BULLISH, RSI=89.375, ADX=28.0256 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0852% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
RZLVW,2026-05-10T21:47:15.933610+00:00,1.04,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"RZLVW: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=12.9173%, slope=RISING. Extended support: PPO=BEARISH, RSI=98.6446, ADX=81.8687 BULLISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0695% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
SATLW,2026-05-10T21:47:38.104898+00:00,0.5437,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_OR_GROW,"SATLW: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bearish trend; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-11.5175%, slope=FALLING. Extended support: PPO=BULLISH, RSI=86.7384, ADX=38.8227 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.2011% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
